Product,Price,Rating,Category
Laptops Product 1,62615,4.9,Laptops
Laptops Product 2,59564,3.4,Laptops
Laptops Product 3,50689,3.3,Laptops
Laptops Product 4,11742,3.2,Laptops
Laptops Product 5,54459,4.1,Laptops
Laptops Product 6,67455,3.6,Laptops
Laptops Product 7,80463,3.6,Laptops
Laptops Product 8,57718,4.8,Laptops
Laptops Product 9,69119,3.9,Laptops
Laptops Product 10,94768,3.8,Laptops
Laptops Product 11,54593,5.0,Laptops
Laptops Product 12,28354,4.6,Laptops
Laptops Product 13,46960,3.7,Laptops
Laptops Product 14,20623,3.6,Laptops
Laptops Product 15,2092,4.0,Laptops
Laptops Product 16,90004,4.2,Laptops
Laptops Product 17,79923,4.3,Laptops
Laptops Product 18,61215,3.5,Laptops
Laptops Product 19,65518,3.8,Laptops
Laptops Product 20,74491,4.3,Laptops
Laptops Product 21,4516,3.9,Laptops
Laptops Product 22,28692,4.6,Laptops
Laptops Product 23,26925,4.4,Laptops
Laptops Product 24,46239,4.5,Laptops
Laptops Product 25,49317,4.0,Laptops
Laptops Product 26,29962,4.9,Laptops
Laptops Product 27,75040,3.3,Laptops
Laptops Product 28,48305,4.3,Laptops
Laptops Product 29,97806,4.1,Laptops
Laptops Product 30,42732,4.7,Laptops
Laptops Product 31,32214,3.3,Laptops
Laptops Product 32,92273,3.9,Laptops
Laptops Product 33,17215,4.3,Laptops
Laptops Product 34,25035,4.3,Laptops
Laptops Product 35,26795,4.7,Laptops
Laptops Product 36,57392,4.1,Laptops
Laptops Product 37,99131,3.1,Laptops
Laptops Product 38,30616,3.2,Laptops
Laptops Product 39,43688,4.6,Laptops
Laptops Product 40,44408,3.8,Laptops
Laptops Product 41,65886,4.4,Laptops
Laptops Product 42,7047,4.0,Laptops
Laptops Product 43,55621,3.8,Laptops
Laptops Product 44,40516,4.6,Laptops
Laptops Product 45,67300,4.9,Laptops
Laptops Product 46,64047,3.5,Laptops
Laptops Product 47,7423,4.0,Laptops
Laptops Product 48,66034,4.7,Laptops
Laptops Product 49,14760,3.9,Laptops
Laptops Product 50,6437,3.2,Laptops
