Product,Price,Rating,Category
Mobiles Product 1,62615,4.9,Mobiles
Mobiles Product 2,59564,3.4,Mobiles
Mobiles Product 3,50689,3.3,Mobiles
Mobiles Product 4,11742,3.2,Mobiles
Mobiles Product 5,54459,4.1,Mobiles
Mobiles Product 6,67455,3.6,Mobiles
Mobiles Product 7,80463,3.6,Mobiles
Mobiles Product 8,57718,4.8,Mobiles
Mobiles Product 9,69119,3.9,Mobiles
Mobiles Product 10,94768,3.8,Mobiles
Mobiles Product 11,54593,5.0,Mobiles
Mobiles Product 12,28354,4.6,Mobiles
Mobiles Product 13,46960,3.7,Mobiles
Mobiles Product 14,20623,3.6,Mobiles
Mobiles Product 15,2092,4.0,Mobiles
Mobiles Product 16,90004,4.2,Mobiles
Mobiles Product 17,79923,4.3,Mobiles
Mobiles Product 18,61215,3.5,Mobiles
Mobiles Product 19,65518,3.8,Mobiles
Mobiles Product 20,74491,4.3,Mobiles
Mobiles Product 21,4516,3.9,Mobiles
Mobiles Product 22,28692,4.6,Mobiles
Mobiles Product 23,26925,4.4,Mobiles
Mobiles Product 24,46239,4.5,Mobiles
Mobiles Product 25,49317,4.0,Mobiles
Mobiles Product 26,29962,4.9,Mobiles
Mobiles Product 27,75040,3.3,Mobiles
Mobiles Product 28,48305,4.3,Mobiles
Mobiles Product 29,97806,4.1,Mobiles
Mobiles Product 30,42732,4.7,Mobiles
Mobiles Product 31,32214,3.3,Mobiles
Mobiles Product 32,92273,3.9,Mobiles
Mobiles Product 33,17215,4.3,Mobiles
Mobiles Product 34,25035,4.3,Mobiles
Mobiles Product 35,26795,4.7,Mobiles
Mobiles Product 36,57392,4.1,Mobiles
Mobiles Product 37,99131,3.1,Mobiles
Mobiles Product 38,30616,3.2,Mobiles
Mobiles Product 39,43688,4.6,Mobiles
Mobiles Product 40,44408,3.8,Mobiles
Mobiles Product 41,65886,4.4,Mobiles
Mobiles Product 42,7047,4.0,Mobiles
Mobiles Product 43,55621,3.8,Mobiles
Mobiles Product 44,40516,4.6,Mobiles
Mobiles Product 45,67300,4.9,Mobiles
Mobiles Product 46,64047,3.5,Mobiles
Mobiles Product 47,7423,4.0,Mobiles
Mobiles Product 48,66034,4.7,Mobiles
Mobiles Product 49,14760,3.9,Mobiles
Mobiles Product 50,6437,3.2,Mobiles
