Product,Price,Rating,Category
Monitors Product 1,71083,3.5,Monitors
Monitors Product 2,26940,4.1,Monitors
Monitors Product 3,19417,4.3,Monitors
Monitors Product 4,63426,3.6,Monitors
Monitors Product 5,11376,3.3,Monitors
Monitors Product 6,6480,3.2,Monitors
Monitors Product 7,78503,4.3,Monitors
Monitors Product 8,68632,3.1,Monitors
Monitors Product 9,15189,4.0,Monitors
Monitors Product 10,79933,4.3,Monitors
Monitors Product 11,46884,3.3,Monitors
Monitors Product 12,33689,4.4,Monitors
Monitors Product 13,37979,3.1,Monitors
Monitors Product 14,1458,4.8,Monitors
Monitors Product 15,79491,3.5,Monitors
Monitors Product 16,70901,4.1,Monitors
Monitors Product 17,43045,3.5,Monitors
Monitors Product 18,89207,3.4,Monitors
Monitors Product 19,88389,3.7,Monitors
Monitors Product 20,4426,3.9,Monitors
Monitors Product 21,12794,3.5,Monitors
Monitors Product 22,98382,4.7,Monitors
Monitors Product 23,46405,4.7,Monitors
Monitors Product 24,23968,4.4,Monitors
Monitors Product 25,54811,3.9,Monitors
Monitors Product 26,32684,4.1,Monitors
Monitors Product 27,38813,4.3,Monitors
Monitors Product 28,15151,4.0,Monitors
Monitors Product 29,36643,4.5,Monitors
Monitors Product 30,89234,3.9,Monitors
Monitors Product 31,66385,4.2,Monitors
Monitors Product 32,54658,4.3,Monitors
Monitors Product 33,93006,3.9,Monitors
Monitors Product 34,28657,3.0,Monitors
Monitors Product 35,76493,3.1,Monitors
Monitors Product 36,86373,3.5,Monitors
Monitors Product 37,77270,4.6,Monitors
Monitors Product 38,86867,4.9,Monitors
Monitors Product 39,54007,3.2,Monitors
Monitors Product 40,35268,4.5,Monitors
Monitors Product 41,62787,5.0,Monitors
Monitors Product 42,83411,4.5,Monitors
Monitors Product 43,58919,4.0,Monitors
Monitors Product 44,73735,3.2,Monitors
Monitors Product 45,12284,4.6,Monitors
Monitors Product 46,77461,3.1,Monitors
Monitors Product 47,36349,3.2,Monitors
Monitors Product 48,16048,3.5,Monitors
Monitors Product 49,65476,3.6,Monitors
Monitors Product 50,1735,4.9,Monitors
